Record Date,Series Code,Series Description,Bonds Issued Count,Redeemed Bonds Count,Bonds Outstanding Count,Matured Bonds Count,Unmatured Bonds Count,Matured Redeemed Bonds Count,Matured Unredeemed Bonds Count,Unmatured Redeemed Bonds Count,Unmatured Unredeemed Bonds Count,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
"2019-03-31","J","Series J","793354","791573","1781","793354","0","791573","1781","0","0","10","2019","2","2019","1","03","31"
"2019-03-31","K","Series K","936780","936650","130","936780","0","936650","130","0","0","11","2019","2","2019","1","03","31"
"2019-03-31","R","Series R","562439","552139","10300","0","562439","0","0","552139","10300","12","2019","2","2019","1","03","31"
"2019-03-31","P","Series P","194335","191133","3202","0","194335","0","0","191133","3202","13","2019","2","2019","1","03","31"
"2019-03-31","null","All Series","6860219795","6457270688","402949107","5457992853","1402226942","5389614298","68378555","1067656390","334570552","14","2019","2","2019","1","03","31"
"2019-02-28","E","Series E","4599418693","4574630326","24788367","4599418693","0","4574630326","24788367","0","0","1","2019","2","2019","1","02","28"
"2019-02-28","EE","Series EE","1976146224","1630916069","345230155","749497404","1226648820","706949817","42547587","923966252","302682568","2","2019","2","2019","1","02","28"
"2019-02-28","SN","Savings Notes","30850113","30687126","162987","30850113","0","30687126","162987","0","0","3","2019","2","2019","1","02","28"
"2019-02-28","H","Series H","16386525","16354619","31906","16386525","0","16354619","31906","0","0","4","2019","2","2019","1","02","28"
"2019-02-28","HH","Series HH","14941798","12729529","2212269","10241463","4700335","9914010","327453","2815519","1884816","5","2019","2","2019","1","02","28"
"2019-02-28","A-D","Series A-D","18559885","18551993","7892","18559885","0","18551993","7892","0","0","6","2019","2","2019","1","02","28"
"2019-02-28","F","Series F","5624339","5615221","9118","5624339","0","5615221","9118","0","0","7","2019","2","2019","1","02","28"
"2019-02-28","G","Series G","17260002","17254409","5593","17260002","0","17254409","5593","0","0","8","2019","2","2019","1","02","28"
"2019-02-28","I","Series I","178495971","146363363","32132608","0","178495971","0","0","146363363","32132608","9","2019","2","2019","1","02","28"
"2019-02-28","J","Series J","793354","791573","1781","793354","0","791573","1781","0","0","10","2019","2","2019","1","02","28"
"2019-02-28","K","Series K","936780","936650","130","936780","0","936650","130","0","0","11","2019","2","2019","1","02","28"
"2019-02-28","R","Series R","562439","552006","10433","0","562439","0","0","552006","10433","12","2019","2","2019","1","02","28"
"2019-02-28","P","Series P","194335","191133","3202","0","194335","0","0","191133","3202","13","2019","2","2019","1","02","28"
"2019-02-28","null","All Series","6860170458","6455574017","404596441","5449568558","1410601900","5381685744","67882814","1073888273","336713627","14","2019","2","2019","1","02","28"
"2019-01-31","E","Series E","4599418693","4574558340","24860353","4599418693","0","4574558340","24860353","0","0","1","2019","2","2019","1","01","31"
"2019-01-31","EE","Series EE","1976146209","1629475826","346670383","741123692","1235022517","699174731","41948961","930301095","304721422","2","2019","2","2019","1","01","31"
"2019-01-31","SN","Savings Notes","30850113","30686628","163485","30850113","0","30686628","163485","0","0","3","2019","2","2019","1","01","31"
"2019-01-31","H","Series H","16386525","16354570","31955","16386525","0","16354570","31955","0","0","4","2019","2","2019","1","01","31"
"2019-01-31","HH","Series HH","14941798","12702740","2239058","10190868","4750930","9871488","319380","2831252","1919678","5","2019","2","2019","1","01","31"
"2019-01-31","A-D","Series A-D","18559885","18551993","7892","18559885","0","18551993","7892","0","0","6","2019","2","2019","1","01","31"
